OTU_ID	Kingdom	Supergroup	Phylum	Class	Subclass	Order	Suborder	Family	Genus	Species	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-3
7ffb1b14f9165455f7b58a0bf3808e33	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Maxillopoda organism	Maxillopoda organism	Maxillopoda organism	Maxillopoda organism	0	40	0	0	0
51cc889924688c9b80df7501b440454a	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea-Group-I	Acantharea-Group-IX	Acantharea-Group-IXX	Acantharea-Group-IXXsp.	Acantharea-Group-IXXsp. organism	Acantharea-Group-IXXsp. organism	0	10	0	0	0
c95039ef8e6df7ba758b5cc947de29ad	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Pleuromamma	Pleuromamma organism	Pleuromamma organism	Pleuromamma organism	0	81	0	0	0
ba5c538691a6816497fc37575c1a90e7	Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-BX	RAD-B-Group-IV	RAD-B-Group-IVX	RAD-B-Group-IVXsp.	RAD-B-Group-IVXsp. organism	RAD-B-Group-IVXsp. organism	0	21	0	0	0
4b8284bce19195b961bc3cea36fe066f	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11X	Dino-Group-II-Clade-10-and-11Xsp.	Dino-Group-II-Clade-10-and-11Xsp. organism	Dino-Group-II-Clade-10-and-11Xsp. organism	0	11	0	0	0
21ea935917bcb6aecc6a7dc12496c123	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Pleuromamma	Pleuromamma organism	Pleuromamma organism	Pleuromamma organism	0	67	0	0	0
410223f19fb3c1e51e87f848e90510a0	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II organism	Dino-Group-II organism	Dino-Group-II organism	Dino-Group-II organism	Dino-Group-II organism	0	4	0	0	0
7329618d04d976ab9af3a8b544c50413	Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-BX	RAD-B-Group-I	RAD-B-Group-IX	RAD-B-Group-IXsp.	RAD-B-Group-IXsp. organism	RAD-B-Group-IXsp. organism	0	0	0	3	0
f466b489349372bb2fe1822ffdca0821	Eukaryota	Excavata	Discoba	Heterolobosea	HX	Vahlkampfiidae	Tetramitus	Tsp.	Tsp. organism	Tsp. organism	0	6	0	0	0
74e27e47e725e9909472fc18d0a089de	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-16	Dino-Group-II-Clade-16X	Dino-Group-II-Clade-16Xsp.	Dino-Group-II-Clade-16Xsp. organism	Dino-Group-II-Clade-16Xsp. organism	0	0	0	11	0
3ef45de25c067c94bccfaac1acd13a1e	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-IIX	Dino-Group-IIXX	Dino-Group-IIXXsp.	Dino-Group-IIXXsp. organism	Dino-Group-IIXXsp. organism	0	2	0	0	0
a4da3bb8303ca4f4c1f06cc46098c6a5	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Chytriodiniaceae	Chytriodinium	Caffine	Caffine organism	Caffine organism	0	10	0	0	0
276c5722bdc9ef7c2f1ee132d44d6339	Eukaryota	Stramenopiles	SX	MAST	MAST-4	MAST-4A	MAST-4AX	MAST-4AXsp.	MAST-4AXsp. organism	MAST-4AXsp. organism	0	0	0	16	0
1a521875cc165c8d28f25c1f2950e07a	Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-BX	RAD-B-Group-I	RAD-B-Group-IX	RAD-B-Group-IXsp.	RAD-B-Group-IXsp. organism	RAD-B-Group-IXsp. organism	0	0	0	16	0
8e7fcbee802eb37ca2b717d124b76414	Eukaryota	Rhizaria	Radiolaria	Acantharea	Acantharea-Group-I	Acantharea-Group-IX	Acantharea-Group-IXX	Acantharea-Group-IXXsp.	Acantharea-Group-IXXsp. organism	Acantharea-Group-IXXsp. organism	0	9	0	0	0
fc6ce23d05936a3eecd7f73d871b9e2f	Eukaryota	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	Eukaryota organism	0	0	0	4	0
c13eefc7fc385c372af8c75e682d9511	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda	Delibus	Delibus organism	Delibus organism	Delibus organism	0	0	0	0	1
5007e99e0c7226cd02ff4275c772ec31	Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spumellarida-Group-I	Spumellarida-Group-I organism	Spumellarida-Group-I organism	Spumellarida-Group-I organism	Spumellarida-Group-I organism	0	19	0	0	0
1c3bf6f587f5f2cb9aa4e9506621b79a	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-4	Dino-Group-II-Clade-4X	Dino-Group-II-Clade-4Xsp.	Dino-Group-II-Clade-4Xsp. organism	Dino-Group-II-Clade-4Xsp. organism	0	0	0	7	0
a61fae534f9cf4104d48a6a0da3046b6	Eukaryota	Rhizaria	Radiolaria	RAD-B	RAD-BX	RAD-B-Group-I	RAD-B-Group-IX	RAD-B-Group-IXsp.	RAD-B-Group-IXsp. organism	RAD-B-Group-IXsp. organism	0	0	0	8	0
670d2b1acd084e55e4b65da0a89844ac	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-6	Dino-Group-II-Clade-6X	Dino-Group-II-Clade-6Xsp.	Dino-Group-II-Clade-6Xsp. organism	Dino-Group-II-Clade-6Xsp. organism	0	0	0	17	0
3d026b543f4eb4ee56acdf92fc275ab2	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-8	Dino-Group-II-Clade-8X	Dino-Group-II-Clade-8Xsp.	Dino-Group-II-Clade-8Xsp. organism	Dino-Group-II-Clade-8Xsp. organism	0	0	0	8	0
bcea92f14690fa47a8fe4b4a976941ed	Eukaryota	Alveolata	Dinoflagellata	Dinoflagellata organism	Dinoflagellata organism	Dinoflagellata organism	Dinoflagellata organism	Dinoflagellata organism	Dinoflagellata organism	Dinoflagellata organism	0	3	0	0	0
7581b65e0aa6647f89a0e10b51857d99	Eukaryota	Alveolata	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-Group-I-Clade-5	Dino-Group-I-Clade-5X	Dino-Group-I-Clade-5Xsp.	Dino-Group-I-Clade-5Xsp. organism	Dino-Group-I-Clade-5Xsp. organism	0	3	0	0	0
ac513afacfa7a1745ec344033fab9dfe	Eukaryota	Rhizaria	Radiolaria	Polycystinea	Spumellarida	Spumellarida-Group-I	Spumellarida-Group-IX	Spumellarida-Group-IXsp.	Spumellarida-Group-IXsp. organism	Spumellarida-Group-IXsp. organism	0	10	0	0	0
2f61649ab7bc9296688854d663f315ff	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Takayama	Tpulchellum	Tpulchellum organism	Tpulchellum organism	0	0	0	9	0
