#OTUID	taxonomy	confidence
de527f9f86e968457b50b26ec7884986	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-I;family_Dino-Group-I-Clade-1;genus_Dino-Group-I-Clade-1_X;species_Dino-Group-I-Clade-1_X_sp.	0.9999999999999716
a471e3cdb8bc4575da39d8524e7a0da3	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Prorocentrales;family_Prorocentraceae;genus_Prorocentrum;species_Prorocentrum_sp.	0.9397298771329113
15f965ed260cec0fde4b56f1c541f66b	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae	0.9999993550042848
05ba75d520d225ea3de39e72030455fb	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Torodiniales;family_Torodiniaceae;genus_Torodinium	0.9972808305180794
c839582ac7be2ffbad7d5802f18b8cce	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Prorocentrales;family_Prorocentraceae;genus_Prorocentrum;species_Prorocentrum_sp.	0.8381121243716702
ea9fa54d71fce2e37ce3a3b634d76954	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Mollusca;order_Gastropoda;family_Heterobranchia	0.8634352438121988
0a8f9b3e733bb6737646fab665667282	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Peridiniales;family_Blastodiniaceae;genus_Blastodinium	0.9999985421663283
19b20434e197f2fefcb4c2da939ae6ef	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gymnodinium;species_Gymnodinium_sp.	0.9434008031978469
164ef903f9d2392ec647e6c96adc0758	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Oithona	0.9759854325438715
12cc8646873807756af66f6c88b618c6	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_RAD-A;order_RAD-A_X;family_RAD-A_XX;genus_RAD-A_XXX;species_RAD-A_XXX_sp.	0.9999999998085229
ceaabc5571fc090fe56da7b8bfb16c2f	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae	0.9999993761067608
4a77acd47e7c61af61353797d442034c	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_Polycystinea;order_Spumellarida;family_Spumellarida-Group-I;genus_Spumellarida-Group-I_X;species_Spumellarida-Group-I_X_sp.	0.9931036998401896
b97ebee4e59d0af5605d8cf29ab1007b	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Kareniaceae;genus_Karlodinium;species_Karlodinium_sp.	0.9643268415509938
f21c25f2b89964246ddb46b70aaac1da	 kingdom_Eukaryota;supergroup_Opisthokonta;division_Metazoa;class_Arthropoda;order_Crustacea;family_Maxillopoda;genus_Calocalanus	0.9966786469192408
9955574fc45b44f34ffc7a73327bff6b	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Peridiniales;family_Blastodiniaceae;genus_Blastodinium	0.9995489477118908
d724250b2c91836616b2709bd3fa1da6	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Peridiniales;family_Amphidomataceae;genus_Azadinium	0.906321462529375
6f1760a0727ee4acf80b45d3a80d6b53	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gymnodiniales;family_Gymnodiniaceae;genus_Gymnodinium;species_Gymnodinium_sp.	0.843171959661044
2447bb7400a577a34916a3df9d65472e	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gonyaulacales;family_Gonyaulacaceae;genus_Lingulodinium;species_Lingulodinium_polyedra	0.9999999999899387
3674fc2c9c5e792c619f89fc348c322c	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Dinophyceae;order_Gonyaulacales;family_Ceratiaceae;genus_Tripos	0.9999989707740574
29b816676741e9cac084a6ef15b36448	 kingdom_Eukaryota;supergroup_Alveolata;division_Dinoflagellata;class_Syndiniales;order_Dino-Group-III;family_Dino-Group-III_X;genus_Dino-Group-III_XX;species_Dino-Group-III_XX_sp.	0.9999941432703974
4dcef1fe0379f9ec29542f420cd85def	 kingdom_Eukaryota;supergroup_Rhizaria;division_Radiolaria;class_Polycystinea;order_Collodaria;family_Collosphaeridae;genus_Collosphaera;species_Collosphaera_tuberosa	0.9964700180253144
