# Constructed from biom file						
#OTU ID	1-200-3	1-200-8	1-300-0.22	1-60-3	10-20-3	taxonomy
a61fae534f9cf4104d48a6a0da3046b6	0	0	0	8	0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_RAD-B; order_RAD-B_X; family_RAD-B-Group-I; genus_RAD-B-Group-I_X; species_RAD-B-Group-I_X_sp.
670d2b1acd084e55e4b65da0a89844ac	0	0	0	17	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-6; genus_Dino-Group-II-Clade-6_X; species_Dino-Group-II-Clade-6_X_sp.
3d026b543f4eb4ee56acdf92fc275ab2	0	0	0	8	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-8; genus_Dino-Group-II-Clade-8_X; species_Dino-Group-II-Clade-8_X_sp.
bcea92f14690fa47a8fe4b4a976941ed	0	3	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata
7581b65e0aa6647f89a0e10b51857d99	0	3	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-5; genus_Dino-Group-I-Clade-5_X; species_Dino-Group-I-Clade-5_X_sp.
ac513afacfa7a1745ec344033fab9dfe	0	10	0	0	0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_Polycystinea; order_Spumellarida; family_Spumellarida-Group-I; genus_Spumellarida-Group-I_X; species_Spumellarida-Group-I_X_sp.
579564ab81783489b3e08b4cea5fdfe0	0	9	0	0	0	kingdom_Eukaryota; supergroup_Alveolata
6b4cf80328d6e6a802361b0fc90ae033	0	4	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata
2f61649ab7bc9296688854d663f315ff	0	0	0	9	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Dinophyceae; order_Gymnodiniales; family_Kareniaceae; genus_Takayama; species_Takayama_pulchellum
98c3486da3303fe786f33f11d724f5fd	0	0	0	9	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-5; genus_Dino-Group-I-Clade-5_X; species_Dino-Group-I-Clade-5_X_sp.
9b910dc5bb83799f28504e8533ae04fa	0	8	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Ciliophora; class_Oligohymenophorea; order_OLIGO5; family_OLIGO5_X; genus_OLIGO5_XX; species_OLIGO5_XX_sp.
95696ccd54aac3957a3f2b66815df96f	0	0	0	8	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-17; genus_Dino-Group-II-Clade-17_X; species_Dino-Group-II-Clade-17_X_sp.
9ba0c64b902e17dd4b737c7fcf6480f0	0	0	0	2	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-1; genus_Dino-Group-I-Clade-1_X; species_Dino-Group-I-Clade-1_X_sp.
9a964077a2546edbe75b1aa69e59dad0	0	6	0	0	0	kingdom_Eukaryota; supergroup_Opisthokonta; division_Metazoa; class_Ctenophora; order_Ctenophora_X; family_Ctenophora_XX
f116244938f966d2d5ea82580e9c35c1	0	4	0	0	0	kingdom_Eukaryota; supergroup_Rhizaria; division_Radiolaria; class_RAD-A; order_RAD-A_X; family_RAD-A_XX; genus_RAD-A_XXX; species_RAD-A_XXX_sp.
53ef6fff8c0914bfaf664c9446788d9a	0	6	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-I; family_Dino-Group-I-Clade-4; genus_Dino-Group-I-Clade-4_X; species_Dino-Group-I-Clade-4_X_sp.
3344595cd4573c52c4f4a320a2c4537d	0	0	0	6	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-6; genus_Dino-Group-II-Clade-6_X; species_Dino-Group-II-Clade-6_X_sp.
793c300ca529b91645ab9e9bceb825de	5	0	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Dinoflagellata; class_Syndiniales; order_Dino-Group-II; family_Dino-Group-II-Clade-7; genus_Dino-Group-II-Clade-7_X; species_Dino-Group-II-Clade-7_X_sp.
77bdb1948feb1cb9c0f7dc5aba5ff88b	0	5	0	0	0	kingdom_Eukaryota; supergroup_Alveolata; division_Ciliophora; class_Nassophorea; order_Nassophorea_X; family_Discotrichidae; genus_NASSO_1; species_NASSO_1_sp.
